,ramping,1-load_factor,average_daily_peak,peak_demand,net_electricity_consumption,quadratic,total
0,1.1906728744506836,1.0371022319655803,1.064850091934204,1.226891040802002,1.0560240745544434,1.1760567426681519,1.125266176062511
1,1.1908520460128784,1.0391787705647026,1.0716896057128906,1.1962703466415405,1.0558782815933228,1.1750767230987549,1.1214909622706817
2,1.1738604307174683,1.033453850504361,1.0610878467559814,1.1872166395187378,1.055639624595642,1.1741021871566772,1.1142267632081446
3,0.8488252758979797,0.9694345140226686,0.936542809009552,1.1558891534805298,1.0050904750823975,1.0442569255828857,0.9933398588460022
4,0.7335251569747925,0.838562370436493,0.7937763333320618,1.002695083618164,1.001230239868164,0.9411717653274536,0.8851601582595215
5,0.7374768853187561,0.8215134921077706,0.7958755493164062,1.0041190385818481,1.0059795379638672,0.9489402770996094,0.8856507967313764
6,0.7395286560058594,0.8254126089700884,0.791236400604248,0.9921659231185913,1.0045040845870972,0.9444929957389832,0.8828901115041446
7,0.7353624105453491,0.8461173731877518,0.7933822274208069,0.9789652228355408,1.0032097101211548,0.9417516589164734,0.8831314338378462
8,0.5989816784858704,0.8276182062229865,0.7755992412567139,0.9922088384628296,0.9959392547607422,0.9263167977333069,0.8527773361537415
9,0.5909891128540039,0.8169796231814617,0.7722582221031189,0.9557456970214844,0.9946198463439941,0.9227022528648376,0.8422157923948168
10,0.5939375162124634,0.8194279569469013,0.7699097990989685,0.944273829460144,0.992563784122467,0.9187283515930176,0.8398068729056604
11,0.5949913859367371,0.816014295606628,0.7701922059059143,0.9060935974121094,0.991719663143158,0.917138397693634,0.8326915909496968
