,ramping,1-load_factor,average_daily_peak,peak_demand,net_electricity_consumption,quadratic,total
0,1.142626404762268,1.0735689591792523,1.0844711065292358,1.172906756401062,1.0427905321121216,1.157270073890686,1.1122723054791044
1,1.1338943243026733,1.0825784652491417,1.0764260292053223,1.2466381788253784,1.0424840450286865,1.1541359424591064,1.1226928308450514
2,1.1195482015609741,1.0776404324085536,1.0755904912948608,1.2995796203613281,1.042435884475708,1.1522659063339233,1.1278434227392247
3,0.8741135001182556,1.048799202697172,0.9959683418273926,1.209322214126587,0.9981867671012878,1.0519535541534424,1.0297239300040228
4,0.7867668271064758,0.9555610621546005,0.8858230113983154,1.085518717765808,0.9974117279052734,0.9819533824920654,0.9488391214704232
5,0.77549147605896,0.9584782048600422,0.8805665969848633,1.1378498077392578,0.9996514320373535,0.9810196757316589,0.955509532235356
6,0.7803176045417786,0.9604710416380544,0.8765835762023926,1.0463290214538574,0.9936016201972961,0.9672243595123291,0.9374212039242847
7,0.799479603767395,0.9584863520648471,0.8801731467247009,1.0322200059890747,0.9915648698806763,0.9650096893310547,0.9378222779596248
8,0.6998510956764221,0.9714795641685119,0.8802704215049744,1.0312410593032837,0.9852759838104248,0.9541139006614685,0.9203720041875142
9,0.7024842500686646,0.9805602381969265,0.8832328915596008,1.0708492994308472,0.9823964238166809,0.9493187069892883,0.9281403016770015
10,0.7013329863548279,0.9716145934653801,0.8839287757873535,1.0019623041152954,0.9802286624908447,0.945019543170929,0.9140144775641051
11,0.6968556046485901,0.9745929002486172,0.8839634656906128,1.0054253339767456,0.9783881902694702,0.941230833530426,0.9134093880607437
