,ramping,1-load_factor,average_daily_peak,peak_demand,net_electricity_consumption,quadratic,total
0,1.1219210624694824,1.0620960182633359,1.0739201307296753,1.1626230478286743,1.0428766012191772,1.1557285785675049,1.1031942398463084
1,1.1400316953659058,1.0793433737194524,1.0802544355392456,1.1903249025344849,1.0427541732788086,1.1563776731491089,1.1148477089311677
2,1.145238995552063,1.0888400678571637,1.0824114084243774,1.1626313924789429,1.0425482988357544,1.154595136642456,1.1127108832984596
3,0.9185587763786316,1.057338434000824,1.0016884803771973,1.2074085474014282,0.9981498122215271,1.0621815919876099,1.040887607061203
4,0.9355615377426147,1.0340106912018354,0.9647001624107361,1.2160987854003906,1.0038950443267822,1.037854552268982,1.0320201288918902
5,0.9362718462944031,1.0463268216290884,0.957597553730011,1.1063189506530762,0.998641848564148,1.0175763368606567,1.0104555596218974
6,0.9344534277915955,1.0261531971201976,0.972460925579071,1.0843538045883179,0.988573431968689,1.0052788257598877,1.0018789354679598
7,0.9440822601318359,1.0630544833329068,0.9853243231773376,1.0858820676803589,0.9838735461235046,1.0029093027114868,1.0108543305262385
8,0.8890625834465027,1.069586246143795,0.993988573551178,1.151832103729248,0.9779847264289856,1.0018701553344727,1.0140540647723637
9,0.9018022418022156,1.0788877075749828,1.0010449886322021,1.1548641920089722,0.9770147800445557,1.0047811269760132,1.0197325061731568
10,0.9074822068214417,1.0713621150986106,1.000640869140625,1.1215510368347168,0.9753460884094238,1.000775933265686,1.0128597082617505
11,0.9120364189147949,1.0812700860466757,1.0005043745040894,1.1451020240783691,0.974383533000946,0.9998699426651001,1.0188610632016626
